idx,name,alt,width
470,MA1308.2,WRKY70,10
471,MA1310.2,WRKY42,8
472,MA1311.3,WRKY28,7
473,MA1312.2,WRKY47,9
474,MA1313.2,WRKY7,11
475,MA1314.2,WRKY14,10
476,MA1315.2,WRKY24,11
477,MA1316.2,WRKY71,10
478,MA1317.2,WRKY50,9
479,MA1318.2,WRKY27,11
480,MA1805.2,WRKY53,7
481,MA0557.2,FHY3,8
482,MA1382.2,FAR1,9
483,MA1664.3,HSFA6B,8
484,MA1665.3,HSFB2A,10
485,MA1666.3,HSFB2B,11
486,MA1667.3,HSFC1,8
487,MA1758.2,HSFA1E,14
488,MA1759.2,HSFA4A,14
489,MA1761.2,HSFB3,12
490,MA2019.2,HSFA1B,8
491,MA2020.2,HSFB4,10
492,MA0008.4,HAT5,9
493,MA0110.4,ATHB-5,8
494,MA0573.2,ATHB-9,15
495,MA0953.2,ATHB-6,7
496,MA0954.3,ATHB-7,11
497,MA0990.2,HDG11,9
498,MA1024.2,HAT1,8
499,MA1026.3,ATHB-15,13
500,MA1198.2,HAT2,8
501,MA1209.2,ATHB-20,8
502,MA1210.3,HAT22,9
503,MA1211.2,ATHB-X,9
504,MA1212.2,ATHB-13,8
505,MA1214.2,ATHB-40,11
506,MA1215.2,ATHB-53,9
507,MA1327.3,ATHB-23,7
508,MA1369.2,HDG1,10
509,MA1375.2,ANL2,10
510,MA1406.2,ATHB-4,9
511,MA1757.2,HDG7,10
512,MA1213.3,ZHD3,9
513,MA1326.2,ZHD5,8
514,MA1329.3,ZHD1,9
515,MA1330.2,ZHD6,12
516,MA1807.2,ZHD10,8
517,MA0001.3,AGL3,10
518,MA0005.3,AG,16
519,MA0548.3,AGL15,16
520,MA0554.2,SOC1,13
521,MA0555.2,SVP,16
522,MA0556.2,AP3,13
523,MA0558.2,FLC,14
524,MA0563.2,SEP3,10
525,MA0584.2,SEP1,13
526,MA0585.2,AGL1,16
527,MA1015.2,GATA12,6
528,MA1016.2,GATA15,4
529,MA1017.2,GATA8,5
530,MA1018.2,GATA9,6
531,MA1323.2,GATA19,9
532,MA1325.2,GATA14,8
533,MA1396.2,GATA6,10
534,MA1755.2,GATA4,4
535,MA0973.2,CDF2,7
536,MA0974.3,CDF3,8
537,MA0981.2,DOF1.8,4
538,MA0982.2,DOF2.4,4
539,MA0983.2,DOF5.6,4
540,MA0984.2,DOF5.7,5
541,MA1071.2,DOF5.3,4
542,MA1267.2,DOF5.8,19
543,MA1268.2,CDF5,21
544,MA1269.2,DOF4.5,13
545,MA1270.2,DOF3.2,16
546,MA1272.3,DOF2.2,6
547,MA1273.2,DOF4.2,11
548,MA1275.2,DOF1.6,8
549,MA1276.2,DOF3.5,7
550,MA1277.2,DOF1.7,11
551,MA1278.2,DOF3.4,17
552,MA1279.2,DOF1.5,16
553,MA1280.2,DOF5.4,7
554,MA1281.2,DOF5.1,19
555,MA1747.2,DOF4.3,13
556,MA1673.2,LBD18,8
557,MA2021.2,LBD13,8
558,MA2022.2,LOB,13
559,MA1794.2,NLP7,8
560,MA0577.4,SPL3,8
561,MA1055.3,SPL1,8
562,MA1322.3,SPL9,7
563,MA0121.2,ARR10,7
564,MA0945.2,ARR1,6
565,MA0948.2,ARR18,7
566,MA0949.2,ARR2,8
567,MA1027.2,KAN1,6
568,MA1163.3,PHL11,10
569,MA1164.2,HHO5,8
570,MA1165.3,HHO6,7
571,MA1166.2,PHL12,12
572,MA1167.2,EFM,9
573,MA1168.2,MYR2,8
574,MA1383.2,KAN2,10
575,MA1385.2,AT2G40260,10
576,MA1386.3,HHO3,8
577,MA1387.2,HRS1,12
578,MA1388.2,PHL2,7
579,MA1389.2,PHL1,12
580,MA1390.3,HHO2,8
581,MA1706.2,AT1G14600,8
582,MA1735.2,AT2G38300,10
583,MA1737.2,AT5G05090,7
584,MA2023.2,PHL4,10
585,MA0575.2,MYB77,9
586,MA0576.2,RAX3,12
587,MA1037.2,MYB24,7
588,MA1038.2,MYB3,8
589,MA1170.2,MYB118,12
590,MA1171.2,MYB52,7
591,MA1172.2,MYB3R5,14
592,MA1173.2,MYB101,9
593,MA1174.2,MYB56,10
594,MA1175.2,MYB81,9
595,MA1176.2,MYB119,10
596,MA1177.2,MYB65,8
597,MA1178.3,MYB3R1,8
598,MA1179.2,MYB1,7
599,MA1180.2,MYB3R4,12
600,MA1181.2,MYB113,10
601,MA1292.2,MYB27,12
602,MA1293.2,MYB57,10
603,MA1294.2,MYB62,9
604,MA1391.3,MYB33,10
605,MA1392.3,MYB98,8
606,MA1393.3,MYB70,7
607,MA1394.3,MYB73,8
608,MA1426.2,MYB124,7
609,MA1762.2,MYB10,10
610,MA1764.2,MYB116,10
611,MA1765.2,MYB121,9
612,MA1766.2,MYB17,11
613,MA1767.2,MYB23,6
614,MA1768.2,MYB30,12
615,MA1769.2,MYB39,12
616,MA1770.2,MYB40,10
617,MA1771.2,MYB41,10
618,MA1772.2,MYB43,12
619,MA1773.2,MYB51,11
620,MA1774.2,MYB60,10
621,MA1775.2,MYB61,8
622,MA1776.2,MYB67,8
623,MA1777.2,MYB74,11
624,MA1778.2,MYB80,12
625,MA1779.2,MYB83,8
626,MA1780.2,MYB92,7
627,MA1781.2,MYB94,10
628,MA2007.2,MYB107,8
629,MA2008.2,MYB99,8
630,MA2024.2,MYB63,11
631,MA2025.2,MYB93,8
632,MA2026.2,MYB108,10
